,Unnamed: 0,Last,Change,%Change,Open,Low,High,Volume,Value,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
160,155,4.95,0.0,0.0,4.99,4.95,4.99,11000.0,54490.0,4990.0,15.4,4.92,4.94,4.94,5.1,5.7,5.22,5.22,5.64,6.95,5.15,5.31,5.78,7.18,DOWNTREND,SIDEWAYS,DOWNTREND,36.6963,-0.0475,0.0291,LOW,-131.4627,6.2678,-92.3077,56890.0,55086.67,84625.0,287060.8,279839.0,446821.9,Black Marubozu,None,None,-0.4897,-0.0553,-0.0275,14116.0,39866.0,137460.0,119098.0,0.0,0.0,0.0,27.5,0.0,1.23,0.0,2020-10-08
161,156,6.2,-0.2,-0.0312,6.4,6.1,6.4,141300.0,875711.0,0.0,12.9,4.82,5.73,5.24,6.47,6.76,5.65,5.37,5.4,6.33,5.72,5.5,5.68,6.77,UPTREND,UPTREND,SIDEWAYS,66.5886,0.1716,0.0413,NEUTRAL,158.0551,89.3626,-23.7288,175370.0,141893.33,125015.0,1043355.8,833374.47,723536.9,Black Long Day,None,None,-0.3608,0.1376,0.0248,-8600.0,-90056.0,-48514.0,83956.0,0.0,0.0,0.0,29.52,0.0,1.53,0.0,2020-11-19
162,154,5.4,-0.3,-0.0526,5.71,5.4,5.71,81400.0,451563.0,0.0,27.35,5.0,5.26,5.06,6.04,6.76,6.08,6.41,6.76,8.78,6.01,6.35,7.05,8.77,DOWNTREND,DOWNTREND,DOWNTREND,31.3446,-0.1578,0.0528,HIGH,-169.5059,0.0,-100.0,66460.0,64720.0,68460.0,386409.5,385245.67,416906.05,Black Marubozu,None,None,-0.4433,-0.1118,-0.0526,8265.0,23675.0,46770.0,-1695.0,0.0,0.0,0.0,108.0,0.0,1.99,0.0,2020-07-13
163,153,6.37,-0.03,-0.0047,6.44,6.1,6.44,94300.0,590591.0,610.0,27.35,5.0,5.7,5.12,6.44,7.55,5.89,7.64,9.15,0.0,6.26,7.33,8.59,0.0,UPTREND,DOWNTREND,DOWNTREND,47.7436,-0.5503,0.0686,HIGH,148.5763,82.9597,-14.9425,112570.0,95620.0,78575.0,678478.5,573711.27,469285.9,Hanging Man,None,None,-0.3433,0.0889,0.1175,40910.0,-435350.0,-483353.0,-942628.0,0.0,0.0,0.0,33.53,0.0,1.64,0.0,2020-04-16
164,155,4.84,-0.12,-0.0242,4.96,4.82,4.97,113000.0,554050.0,24800.0,15.4,4.82,4.83,4.83,5.04,5.54,5.16,5.2,5.61,6.9,5.11,5.28,5.75,7.13,DOWNTREND,SIDEWAYS,DOWNTREND,32.6622,-0.0631,0.0305,NEUTRAL,-157.2468,8.0913,-95.9184,68580.0,57600.0,61545.0,343232.4,290016.6,314853.55,Black Long Day,Bearish Engulfing,None,-0.501,-0.0763,-0.0242,29790.0,38916.0,162260.0,143898.0,0.0,0.0,0.0,26.89,0.0,1.2,0.0,2020-10-12
165,154,5.18,-0.02,-0.0038,5.12,5.11,5.23,27200.0,140395.0,0.0,27.35,5.0,5.1,5.03,5.25,6.24,5.34,5.88,6.14,8.28,5.37,5.78,6.48,8.14,DOWNTREND,DOWNTREND,DOWNTREND,42.2734,-0.2187,0.0521,HIGH,-64.0122,11.6666,-87.1429,29630.0,78680.0,71315.0,152849.9,441456.8,398525.1,None,None,None,-0.466,0.0058,0.0137,0.0,-18362.0,-3717.0,-54756.0,0.0,0.0,0.0,103.6,0.0,1.9,0.0,2020-08-11
166,155,5.07,-0.02,-0.0039,5.09,5.06,5.09,87300.0,442589.0,0.0,15.4,5.0,5.06,5.03,5.28,5.7,5.26,5.24,5.69,7.03,5.22,5.36,5.83,7.25,DOWNTREND,SIDEWAYS,DOWNTREND,41.2623,-0.0266,0.0322,NEUTRAL,-118.9084,14.3482,-92.1569,41790.0,52320.0,89270.0,213740.4,272281.73,475620.2,Black Long Day,None,None,-0.4773,-0.0324,-0.0039,9126.0,34876.0,132470.0,122373.0,0.0,0.0,0.0,28.17,0.0,1.26,0.0,2020-10-05
167,153,5.85,-0.3,-0.0488,6.4,5.8,6.4,54100.0,325880.0,0.0,27.35,5.0,5.12,5.06,6.28,8.75,6.81,8.61,9.89,0.0,6.74,8.13,9.29,0.0,DOWNTREND,DOWNTREND,DOWNTREND,36.0562,-0.9258,0.0992,HIGH,-53.0342,22.9682,-77.027,72970.0,93753.33,89900.0,434477.1,626578.6,629896.2,Black Long Day,None,None,-0.3969,-0.2769,0.0263,-482110.0,-530113.0,-498950.0,-978962.0,0.0,0.0,0.0,30.79,0.0,1.5,0.0,2020-03-27
168,156,9.63,-0.77,-0.07400000000000001,10.5,9.63,10.64,826000.0,8337048.0,-27300.0,27.35,5.84,9.54,9.14,10.52,12.25,10.0,10.18,10.79,0.0,10.03,10.32,10.8,0.0,DOWNTREND,SIDEWAYS,DOWNTREND,44.7623,-0.0768,0.0666,HIGH,-14.8434,17.6687,-93.75,414890.0,1053386.67,853405.0,4154619.2,11543819.0,9267593.5,Black Long Day,Bearish Engulfing,None,-0.0072,-0.0153,-0.0273,-61715.0,-537863.0,-507312.0,246622.0,0.0,0.0,0.0,50.68,0.0,2.48,0.0,2020-02-12
169,154,6.1,-0.08,-0.0129,6.25,6.08,6.25,41200.0,251362.0,0.0,27.35,5.0,6.09,5.74,6.76,7.12,6.42,6.63,7.21,9.07,6.4,6.62,7.34,9.1,DOWNTREND,DOWNTREND,DOWNTREND,42.207,-0.0516,0.0597,HIGH,-72.9526,9.3112,-98.0952,72160.0,82200.0,84685.0,459298.7,537917.0,552211.5,Black Long Day,None,None,-0.3711,0.0517,-0.0454,0.0,13490.0,-60069.0,20780.0,0.0,0.0,0.0,32.11,0.0,1.57,0.0,2020-06-26
