,Unnamed: 0,Last,Change,%Change,Open,Low,High,Volume,Value,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
35,38,3.12,-0.15,-0.0459,3.28,3.11,3.3,3399000.0,10797000.0,3014439.9997,5.3,3.1,3.11,3.11,3.63,4.18,3.7,0.0,0.0,0.0,3.64,0.0,0.0,0.0,DOWNTREND,NONE,NONE,21.1428,-0.2023,0.0579,HIGH,-168.0456,12.4856,-97.5309,3030000.0,3344800.0,3199350.0,10491841.0,11972180.67,11794893.5,Black Long Day,Bearish Engulfing,None,-0.376,-0.0687,-0.0687,13184970.0,29142710.0,68519660.0,0.0,0.0,0.15,-0.4643,20.8,0.0,1.9,0.0,2019-12-04
36,38,2.54,0.08,0.0325,2.47,2.46,2.57,2719000.0,6836100.0,1374890.0,5.3,2.46,2.46,2.46,2.84,3.76,3.03,3.64,0.0,0.0,2.99,3.62,0.0,0.0,DOWNTREND,DOWNTREND,NONE,26.7901,-0.317,0.0683,HIGH,-104.2422,0.0,-90.4762,3233300.0,3029266.67,3039050.0,8793758.0,8600672.67,9153372.0,None,Tweezer Bottoms,None,-0.49200000000000005,-0.2418,-0.1088,3360480.0,18464290.0,40841990.0,0.0,0.0,0.15,-0.4643,16.93,0.0,1.55,0.0,2019-12-20
37,35,4.54,-0.16,-0.034,4.6,4.48,4.76,24625000.0,112904680.0,167280.0,5.3,4.19,4.36,4.36,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,2.0312,0.0,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None,-0.092,-0.092,-0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-09
38,35,4.4,0.0,0.0,4.43,4.35,4.46,2549000.0,11152920.0,-257180.0,5.3,4.19,4.32,4.26,4.46,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,16.5356,0.0,0.0,LOW,0.0,0.0,0.0,14930900.0,0.0,0.0,67652106.0,0.0,0.0,None,None,None,-0.12,-0.12,0.0,10373500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-21
39,36,4.04,-0.03,-0.0074,4.12,4.03,4.12,2316000.0,9411690.0,122190.0,5.3,3.6,4.02,3.64,4.18,4.46,4.13,0.0,0.0,0.0,4.19,0.0,0.0,0.0,DOWNTREND,NONE,NONE,37.9903,0.0,0.0481,NEUTRAL,-26.3523,55.347,-44.3038,4883600.0,5622466.67,5525650.0,19205312.0,22376751.33,22531203.5,Black Long Day,None,None,-0.192,0.0386,-0.0122,16137780.0,39336450.0,0.0,0.0,0.0,0.15,-0.4643,26.93,0.0,2.46,0.0,2019-11-12
40,37,3.68,0.01,0.0027,3.67,3.55,3.68,1937000.0,7027280.0,1821310.0,5.3,3.5,3.56,3.56,3.76,4.18,3.86,0.0,0.0,0.0,3.87,0.0,0.0,0.0,DOWNTREND,NONE,NONE,34.1469,-0.1727,0.0461,NEUTRAL,-99.5836,27.5406,-72.3077,3255100.0,3091066.67,3734700.0,12094725.0,11817494.0,14456085.5,Hammer,None,None,-0.264,-0.054000000000000006,0.0166,13612440.0,27490350.0,60074050.0,0.0,0.0,0.15,-0.4643,24.53,0.0,2.24,0.0,2019-11-27
41,38,2.85,-0.06,-0.0206,2.93,2.8,2.95,2646000.0,7589400.0,852770.0,5.3,2.57,2.58,2.58,2.98,3.84,3.31,0.0,0.0,0.0,3.24,0.0,0.0,0.0,DOWNTREND,NONE,NONE,29.808000000000003,-0.2912,0.064,HIGH,-88.2305,21.8671,-75.8621,3160100.0,3129533.33,3430600.0,9302472.0,9805471.33,11371586.0,None,None,None,-0.43,-0.1493,-0.0594,7321410.0,29138910.0,67573970.0,0.0,0.0,0.15,-0.4643,19.0,0.0,1.74,0.0,2019-12-13
42,38,3.03,0.0,0.0,3.03,2.97,3.08,2137000.0,6447960.0,42170.0,5.3,2.97,3.0,3.0,3.32,4.1,3.59,0.0,0.0,0.0,3.53,0.0,0.0,0.0,DOWNTREND,NONE,NONE,19.5388,-0.2258,0.0583,HIGH,-156.1765,4.0496,-93.617,2844800.0,3341133.33,3136850.0,9512986.0,11698634.0,11241548.0,Doji,None,None,-0.39399999999999996,-0.0955,-0.0955,7782400.0,30539900.0,69283960.0,0.0,0.0,0.15,-0.4643,20.2,0.0,1.85,0.0,2019-12-06
43,38,3.03,-0.09,-0.0288,3.11,3.0,3.2,3159000.0,9611820.0,1014710.0,5.3,3.0,3.02,3.02,3.46,4.12,3.64,0.0,0.0,0.0,3.58,0.0,0.0,0.0,DOWNTREND,NONE,NONE,19.5388,-0.2141,0.06,HIGH,-172.3036,8.9178,-96.7033,2918900.0,3412466.67,3126900.0,9923965.0,12064372.0,11316337.0,None,None,None,-0.39399999999999996,-0.0955,-0.0955,14550480.0,30165210.0,69425380.0,0.0,0.0,0.15,-0.4643,20.2,0.0,1.85,0.0,2019-12-05
44,38,2.71,0.13,0.0504,2.58,2.58,2.75,5463000.0,14570760.0,1307830.0,5.3,2.46,2.46,2.46,2.73,3.68,2.93,3.57,0.0,0.0,2.93,3.55,0.0,0.0,DOWNTREND,DOWNTREND,NONE,35.6975,-0.3165,0.0629,HIGH,-60.6447,19.1978,-66.2162,3900100.0,3636000.0,3534950.0,10433611.0,10024288.0,10261503.0,White Long Day,None,None,-0.45799999999999996,-0.191,0.0669,5354250.0,20824040.0,47001570.0,0.0,0.0,0.15,-0.4643,18.07,0.0,1.65,0.0,2019-12-26
45,38,2.83,-0.02,-0.006999999999999999,2.85,2.78,2.86,1040000.0,2932820.0,1419870.0,5.3,2.57,2.58,2.58,2.93,3.84,3.26,3.81,0.0,0.0,3.2,3.81,0.0,0.0,DOWNTREND,DOWNTREND,NONE,29.3666,-0.2959,0.0619,HIGH,-87.9743,25.0679,-76.5766,2957700.0,3010666.67,3150350.0,8611678.0,9296948.67,10274088.0,None,None,None,-0.434,-0.1552,-0.006999999999999999,8836900.0,24804440.0,60540630.0,0.0,0.0,0.15,-0.4643,18.87,0.0,1.73,0.0,2019-12-16
46,37,3.78,0.01,0.0027,3.79,3.78,3.91,3871000.0,14816760.0,979720.0,5.3,3.6,3.67,3.64,4.0,4.42,3.98,0.0,0.0,0.0,4.03,0.0,0.0,0.0,DOWNTREND,NONE,NONE,33.1119,0.0,0.0481,NEUTRAL,-67.319,20.9339,-78.1818,3393300.0,4512200.0,5159200.0,13356851.0,17580134.0,20365008.0,Shooting Star,None,None,-0.244,-0.0283,0.0272,431500.0,39302460.0,86620840.0,0.0,0.0,0.15,-0.4643,25.2,0.0,2.3,0.0,2019-11-19
47,38,2.74,0.14,0.0538,2.6,2.6,2.77,4593000.0,12551720.0,2037280.0,5.3,2.57,2.58,2.58,3.12,3.86,3.4,0.0,0.0,0.0,3.32,0.0,0.0,0.0,DOWNTREND,NONE,NONE,22.1615,-0.2726,0.0676,HIGH,-144.9957,0.0,-86.1789,3435400.0,3135533.33,3345250.0,10641839.0,10180089.33,11368282.0,White Long Day,Bullish Harami,None,-0.452,-0.1821,-0.0957,3582720.0,30380130.0,71100610.0,0.0,0.0,0.15,-0.4643,18.27,0.0,1.67,0.0,2019-12-11
48,38,2.61,-0.1,-0.0369,2.76,2.61,2.78,4775000.0,12660970.0,21310.0,5.3,2.46,2.46,2.46,2.74,3.63,2.88,3.54,0.0,0.0,2.9,3.51,0.0,0.0,DOWNTREND,DOWNTREND,NONE,33.1025,-0.3121,0.0653,HIGH,-59.3428,24.0877,-75.8065,3918300.0,3727733.33,3676850.0,10444536.0,10148552.67,10543187.5,Black Long Day,None,None,-0.478,-0.2209,0.0276,6731370.0,17830910.0,46973620.0,0.0,0.0,0.15,-0.4643,17.4,0.0,1.59,0.0,2019-12-27
49,37,3.58,-0.1,-0.0272,3.68,3.58,3.68,1109000.0,3991600.0,-350800.0,5.3,3.5,3.56,3.54,3.76,4.18,3.85,0.0,0.0,0.0,3.84,0.0,0.0,0.0,DOWNTREND,NONE,NONE,30.6394,-0.1731,0.046,NEUTRAL,-100.182,21.5131,-87.0968,3151600.0,2857800.0,3381700.0,11670990.0,10804737.33,13091132.0,Black Marubozu,Tweezer Tops,None,-0.284,-0.0797,-0.011000000000000001,10741180.0,16862120.0,59645520.0,0.0,0.0,0.15,-0.4643,23.87,0.0,2.18,0.0,2019-11-28
50,36,3.77,0.09,0.0245,3.69,3.69,3.8,6645000.0,24882780.0,-257170.0,5.3,3.6,3.67,3.64,4.08,4.44,4.01,0.0,0.0,0.0,4.06,0.0,0.0,0.0,DOWNTREND,NONE,NONE,32.4749,0.0,0.0491,NEUTRAL,-100.7997,24.6065,-72.1311,3522500.0,5037466.67,5093100.0,13969659.0,19554072.0,20181816.0,White Long Day,Bullish Harami,None,-0.24600000000000002,-0.0308,0.0245,-426030.0,38952720.0,94093290.0,0.0,0.0,0.15,-0.4643,25.13,0.0,2.3,0.0,2019-11-18
51,35,4.43,0.09,0.0207,4.34,4.34,4.48,7897000.0,34842050.0,4887720.0,5.3,4.19,4.32,4.26,4.54,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,17.5105,0.0,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Bullish Engulfing,None,-0.114,-0.114,-0.0156,-1862360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-17
52,36,3.72,-0.29,-0.0723,4.01,3.7,4.04,11750000.0,44425830.0,629980.0,5.3,3.7,3.71,3.71,4.42,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,5.8152,0.0,0.0657,HIGH,0.0,4.8404,-98.1132,6167700.0,12320666.67,0.0,25857095.0,54674614.0,0.0,Black Long Day,None,Three Black Crows,-0.256,-0.256,-0.0723,465490.0,47318380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-28
53,37,3.72,0.1,0.0276,3.79,3.65,3.8,2823000.0,10560660.0,5754340.0,5.3,3.5,3.56,3.56,3.84,4.18,3.87,0.0,0.0,0.0,3.91,0.0,0.0,0.0,DOWNTREND,NONE,NONE,35.195,-0.1714,0.0485,NEUTRAL,-70.0987,23.0047,-69.0141,3513900.0,3538133.33,4670450.0,13227135.0,13714941.33,17966930.5,None,None,None,-0.256,-0.0437,0.0276,14733910.0,35736190.0,57196970.0,0.0,0.0,0.15,-0.4643,24.8,0.0,2.27,0.0,2019-11-25
54,38,2.46,-0.1,-0.0391,2.6,2.46,2.6,3455000.0,8692990.0,-735660.0,5.3,2.46,2.46,2.46,2.9,3.76,3.09,3.68,0.0,0.0,3.03,3.67,0.0,0.0,DOWNTREND,DOWNTREND,NONE,22.3511,-0.3123,0.0725,HIGH,-116.4104,6.3716,-100.0,3175100.0,3428133.33,3047000.0,8754944.0,10120341.33,9339454.5,Black Marubozu,None,None,-0.508,-0.2657,-0.1368,2838360.0,23899650.0,40761770.0,0.0,0.0,0.15,-0.4643,16.4,0.0,1.5,0.0,2019-12-19
55,36,4.14,0.15,0.0376,4.02,3.93,4.15,5163000.0,20944840.0,5412720.0003,5.3,3.6,3.64,3.64,4.42,4.74,4.24,0.0,0.0,0.0,4.26,0.0,0.0,0.0,DOWNTREND,NONE,NONE,40.3636,0.0,0.0562,HIGH,-47.4465,44.7971,-39.3258,6925100.0,6361800.0,10928000.0,27373165.0,25913630.0,47512635.5,None,None,None,-0.172,0.0643,0.0643,22733180.0,33572170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-05
56,36,4.07,-0.02,-0.0049,4.08,4.0,4.12,1973000.0,7990410.0,-210939.9999,5.3,3.6,4.0,3.64,4.18,4.52,4.15,0.0,0.0,0.0,4.2,0.0,0.0,0.0,DOWNTREND,NONE,NONE,39.188,0.0,0.0497,NEUTRAL,-31.3372,57.3809,-45.977,5827000.0,5638000.0,5937050.0,22706726.0,22492833.33,24427622.5,None,None,None,-0.18600000000000003,0.0463,-0.0049,21428310.0,38957080.0,0.0,0.0,0.0,0.15,-0.4643,27.13,0.0,2.48,0.0,2019-11-11
0,37,2.6,-0.03,-0.0114,2.63,2.59,2.65,854000.0,2232700.0,89040.0,5.3,1.75,2.58,2.46,2.8,2.9,2.69,2.74,2.65,0.0,2.7,2.7,2.8,0.0,DOWNTREND,SIDEWAYS,SIDEWAYS,43.9635,-0.0062,0.047,NEUTRAL,-59.1685,26.6667,-85.7143,3981700.0,3054533.33,2454000.0,10449479.0,8099176.0,6493385.5,None,None,None,-0.0038,0.0236,-0.0545,-28970.0,-1456800.0,6506090.0,-33556620.0,0.0,0.0,0.0,17.33,0.0,1.59,0.0,2020-06-24
1,37,2.7,-0.05,-0.0182,2.77,2.69,2.77,247000.0,671590.0,-2760.0,5.3,1.75,2.68,2.6,2.92,3.08,2.86,2.5,2.7,0.0,2.78,2.71,2.87,0.0,DOWNTREND,UPTREND,DOWNTREND,46.809,0.0876,0.0478,NEUTRAL,-103.0645,13.7681,-91.3043,849200.0,1509400.0,2365050.0,2403336.0,4410087.33,6860180.0,Black Long Day,Bearish Engulfing,None,0.0345,-0.0878,-0.069,811690.0,3712980.0,-27228980.0,-62833620.0,0.0,0.0,0.0,18.0,0.0,1.65,0.0,2020-05-21
2,37,2.87,-0.08,-0.0271,2.94,2.87,2.94,743000.0,2149910.0,574710.0,5.3,1.75,2.8,2.46,2.99,3.08,2.78,2.47,2.7,0.0,2.79,2.68,2.88,0.0,UPTREND,UPTREND,DOWNTREND,57.2307,0.1353,0.0524,HIGH,39.9835,58.9147,-48.0769,2596400.0,5395866.67,4632800.0,7691024.0,14990626.67,12739415.0,Black Marubozu,None,None,0.0996,-0.0304,0.0,4814760.0,-15818850.0,-39589320.0,-66795620.0,0.0,0.0,0.0,19.13,0.0,1.75,0.0,2020-05-12
3,38,3.04,-0.1,-0.0318,3.14,2.99,3.16,3687000.0,11202030.0,423700.0,5.3,2.46,2.72,2.5,3.18,3.66,3.09,3.04,0.0,0.0,3.07,3.23,0.0,0.0,SIDEWAYS,SIDEWAYS,NONE,49.0558,0.0116,0.0834,HIGH,-10.669,41.195,-63.2075,6034200.0,7853866.67,6816250.0,18746137.0,25347385.33,21713581.0,None,None,None,0.1648,-0.0033,-0.0033,5235870.0,-495910.0,-1757210.0,39004560.0,0.0,0.0,0.0,20.27,0.0,1.85,0.0,2020-02-07
4,38,2.76,-0.05,-0.0178,2.84,2.71,2.86,2098000.0,5825940.0,106260.0,5.3,2.46,2.74,2.58,3.1,3.66,3.07,2.97,0.0,0.0,2.99,3.17,0.0,0.0,DOWNTREND,UPTREND,NONE,42.6246,-0.018000000000000002,0.0826,HIGH,-93.5916,16.5597,-89.0,4909100.0,5791666.67,6533100.0,14575556.0,18345244.67,20838432.5,None,None,None,0.0575,-0.0951,-0.0921,2193700.0,6784240.0,-7454240.0,39519380.0,0.0,0.0,0.0,18.4,0.0,1.68,0.0,2020-02-13
5,39,2.6,0.02,0.0078,2.55,2.54,2.6,2364000.0,6055650.0,120490.0,5.3,1.75,2.56,2.32,2.76,2.9,2.53,2.38,2.49,2.6,2.56,2.49,2.52,2.76,UPTREND,UPTREND,DOWNTREND,54.5887,0.0689,0.0384,NEUTRAL,36.8992,63.4843,-42.1053,2494500.0,3711400.0,3148250.0,6563330.0,9343534.67,7873152.5,White Long Day,None,None,-0.0038,-0.057999999999999996,-0.0189,844930.0,6921550.0,-197334250.0,-731835160.0,0.0,0.0,0.0,17.33,0.0,1.2,0.0,2020-10-06
6,39,3.08,0.13,0.0441,2.95,2.93,3.09,3716000.0,11244560.0,193180.0,3.8,1.75,2.92,2.76,3.1,3.2,2.9,2.73,2.53,2.59,2.9,2.76,2.68,2.78,UPTREND,UPTREND,UPTREND,73.2916,0.0738,0.0227,LOW,158.9996,85.5436,-3.4483,1571000.0,1441666.67,1445450.0,4635366.0,4229310.67,4187353.0,White Long Day,None,None,0.1801,0.0807,0.037000000000000005,351450.0,-924160.0,3110630.0,-192144530.0,0.0,0.0,0.0,22.0,0.0,1.39,0.0,2020-11-20
7,37,2.29,0.1,0.0457,2.19,2.13,2.4,1797000.0,4074200.0,-517490.0,5.3,1.75,1.98,1.82,2.34,2.49,2.11,2.65,2.96,0.0,2.2,2.53,2.97,0.0,DOWNTREND,DOWNTREND,DOWNTREND,50.4331,-0.2002,0.0785,HIGH,74.5001,74.359,-16.9231,996500.0,1688666.67,2029200.0,2049870.0,3475526.67,4342904.0,None,None,None,-0.1226,0.0457,0.1281,-1568590.0,-7770290.0,-30618650.0,-36589640.0,0.0,0.0,0.0,15.27,0.0,1.4,0.0,2020-04-01
8,38,3.12,-0.11,-0.0341,3.23,3.12,3.33,3794000.0,12144320.0,-124970.0,5.3,2.46,2.74,2.56,3.66,3.77,3.05,3.14,0.0,0.0,3.11,3.29,0.0,0.0,UPTREND,SIDEWAYS,NONE,50.2806,0.0147,0.0761,HIGH,47.9261,53.0612,-60.2041,8421200.0,6718600.0,6153150.0,27655597.0,21804553.33,19543757.5,None,None,None,0.1954,0.1954,-0.1333,-84730.0,-12114800.0,1729550.0,71337920.0,0.0,0.0,0.0,20.8,0.0,1.9,0.0,2020-01-29
9,39,2.43,0.0,0.0,2.45,2.38,2.45,656000.0,1595320.0,0.0,5.3,1.75,2.33,2.07,2.44,2.58,2.42,2.32,2.53,2.65,2.39,2.39,2.49,2.78,DOWNTREND,UPTREND,DOWNTREND,53.3153,0.0223,0.0409,NEUTRAL,6.8753,42.6219,-58.6207,6203500.0,8598600.0,17331000.0,14921204.0,20855684.67,41799111.5,Hanging Man,None,None,-0.069,-0.0241,0.021,419820.0,-200396400.0,-703788260.0,-738539560.0,0.0,0.0,0.0,16.2,0.0,1.12,0.0,2020-09-17
10,38,2.23,-0.05,-0.0219,2.32,2.18,2.32,1392000.0,3099770.0,-1608350.0,5.3,1.75,2.2,1.98,2.4,2.66,2.47,2.63,2.55,0.0,2.45,2.56,2.69,0.0,DOWNTREND,DOWNTREND,SIDEWAYS,29.8488,-0.0794,0.0452,NEUTRAL,-147.2746,17.1042,-87.8049,893800.0,728733.33,755750.0,2121190.0,1753500.67,1855198.5,None,None,None,-0.1456,-0.1357,-0.0219,-3552570.0,-3072540.0,-3737590.0,2214760.0,0.0,0.0,0.0,13.12,0.0,1.04,0.0,2020-07-21
11,39,3.57,-0.03,-0.0083,3.52,3.52,3.6,2237000.0,7940830.0,-58850.0,3.87,1.75,3.54,3.0,3.76,4.1,3.53,3.11,2.75,2.64,3.51,3.2,2.96,2.92,UPTREND,UPTREND,UPTREND,57.7958,0.2014,0.0346,NEUTRAL,14.9453,60.6969,-52.6316,2439500.0,2601733.33,2868350.0,9005051.0,9424580.0,10032654.0,None,None,None,0.3678,0.0951,-0.0083,-378970.0,-1029540.0,1100910.0,7908820.0,0.0,0.0,0.0,25.5,0.0,1.62,0.0,2020-12-21
12,38,3.05,-0.26,-0.0785,3.32,2.98,3.46,7429000.0,23537970.0,47360.0,5.3,2.46,3.02,2.7,3.52,3.66,3.11,3.11,0.0,0.0,3.12,3.29,0.0,0.0,UPTREND,SIDEWAYS,NONE,48.3606,0.0317,0.0836,HIGH,23.3671,43.8776,-67.3469,8591000.0,6961800.0,6399850.0,28594489.0,22667048.67,20528386.0,None,Bearish Engulfing,None,0.1686,0.1686,-0.1528,258370.0,-11298880.0,-4154720.0,67334210.0,0.0,0.0,0.0,20.33,0.0,1.86,0.0,2020-01-31
13,39,3.5,0.01,0.0029,3.41,3.31,3.5,2619000.0,8947090.0,-68000.0,3.87,1.75,3.34,3.18,3.58,3.84,3.58,3.18,2.81,2.66,3.5,3.24,3.0,2.94,UPTREND,UPTREND,UPTREND,53.2527,0.1533,0.0415,NEUTRAL,-63.3013,38.8889,-61.6667,2562300.0,2742333.33,2630750.0,9091816.0,9878576.67,9351023.0,None,None,None,0.341,0.0736,-0.0057,23640.0,-1007490.0,1909270.0,6300120.0,0.0,0.0,0.0,25.0,0.0,1.58,0.0,2020-12-29
14,37,2.67,-0.01,-0.0037,2.68,2.63,2.68,922000.0,2442660.0,-29150.0,5.3,1.75,2.6,2.52,2.82,2.92,2.7,2.72,2.68,0.0,2.73,2.71,2.82,0.0,UPTREND,SIDEWAYS,SIDEWAYS,46.8284,0.0067,0.0435,NEUTRAL,-32.3465,40.0,-57.5,1133100.0,972866.67,894050.0,3135028.0,2648690.0,2431148.0,Hanging Man,Bearish Harami,None,0.023,0.0512,-0.0361,-119100.0,-1190340.0,5435210.0,-33970100.0,0.0,0.0,0.0,17.8,0.0,1.63,0.0,2020-06-17
