,Unnamed: 0,Last,Change,%Change,Open,Low,High,Previous Close,Volume,Value,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
227,10,6.75,0.7,0.1157,7.0,6.5,8.3,6.05,5079100.0,36754776.0,-93875.0,13.92,4.2,5.92,5.7,7.52,7.77,5.97,5.87,6.14,6.54,6.01,5.98,6.13,6.37,UPTREND,SIDEWAYS,DOWNTREND,71.0679,0.0368,0.0542,HIGH,587.3576,62.1282,-59.6154,606130.0,447380.0,378635.0,4252135.4,3088273.87,2573357.6,None,None,None,-0.0779,0.1269,0.1157,-94483.0,-94503.0,-52424.0,917159.0,1740577.0,0.0,0.0,-135.0,0.0,25.96,0.0,2020-10-16
228,10,6.25,0.0,0.0,6.25,6.2,6.3,6.25,49600.0,309862.0,0.0,13.92,4.2,6.18,5.7,6.44,7.52,6.2,5.97,6.11,6.43,6.21,6.1,6.17,6.37,UPTREND,UPTREND,SIDEWAYS,52.9897,0.1082,0.0473,NEUTRAL,13.5256,16.4626,-83.6735,233660.0,606393.33,489925.0,1462779.2,4149412.87,3318695.3,Doji,None,None,-0.1462,0.0,0.0,32235.0,-67038.0,-67058.0,942861.0,1755622.0,0.0,0.0,-125.0,0.0,24.04,0.0,2020-11-03
229,10,6.65,0.05,0.0076,6.65,6.52,6.65,6.6,102400.0,673301.0,658.0,13.92,4.2,6.5,6.31,6.85,7.3,6.69,6.7,6.46,7.88,6.65,6.61,6.77,6.83,DOWNTREND,SIDEWAYS,SIDEWAYS,50.3572,0.0234,0.0482,NEUTRAL,-35.7321,30.9133,-61.9048,308110.0,246673.33,301145.0,2096699.4,1668097.07,2064477.85,Dragonfly Doji,None,None,-0.0915,0.0215,-0.0134,2655.0,23517.0,26104.0,21373.0,677016.0,0.0,0.0,-83.13,0.0,25.58,0.0,2020-07-02
230,10,7.1,0.26,0.038,6.9,6.85,7.5,6.84,1155900.0,8253148.0,-700.0,13.92,3.89,6.4,6.21,7.3,7.98,6.65,6.35,6.73,7.94,6.66,6.59,6.82,6.86,SIDEWAYS,UPTREND,DOWNTREND,63.5187,0.055,0.0434,NEUTRAL,261.4234,82.913,-31.0078,270010.0,198380.0,164400.0,1853077.2,1354179.2,1119567.4,None,None,None,-0.0301,0.094,0.0231,3234.0,-713.0,10636.0,-672131.0,653499.0,0.0,0.0,-88.75,0.0,27.31,0.0,2020-06-09
231,10,5.77,0.07,0.0123,5.7,5.7,5.77,5.7,104600.0,596357.0,577.0,13.92,4.2,5.7,5.35,5.92,6.14,5.88,5.85,6.18,6.58,5.85,5.92,6.13,6.39,SIDEWAYS,SIDEWAYS,DOWNTREND,46.9768,0.0017,0.037000000000000005,NEUTRAL,-133.2077,0.0,-82.5,161350.0,137040.0,139665.0,947529.1,805006.8,819441.25,White Marubozu,Tweezer Bottoms,None,-0.2117,-0.0367,0.0035,577.0,577.0,17576.0,1064161.0,1863557.0,0.0,0.0,-115.4,0.0,22.19,0.0,2020-10-07
232,10,6.0,0.1,0.0169,5.9,5.8,6.0,5.9,25700.0,149357.0,2920.0,13.92,4.2,5.85,5.08,6.32,7.17,6.46,6.57,6.35,7.7,6.34,6.48,6.67,6.77,DOWNTREND,SIDEWAYS,SIDEWAYS,38.1268,-0.0977,0.0494,NEUTRAL,-148.31799999999998,0.0,-78.4946,104010.0,109446.67,207335.0,654349.3,698521.93,1384999.85,None,None,None,-0.1803,-0.0783,-0.0415,24687.0,51223.0,82533.0,104464.0,739398.0,0.0,0.0,-75.0,0.0,23.08,0.0,2020-07-17
233,10,5.95,0.05,0.0085,5.95,5.95,5.95,5.9,100.0,595.0,0.0,13.92,4.2,5.75,5.35,6.13,6.38,5.74,5.94,6.32,6.87,5.83,5.96,6.22,6.47,UPTREND,DOWNTREND,DOWNTREND,52.9472,-0.0425,0.0476,NEUTRAL,91.6629,59.6491,-31.5789,165090.0,201793.33,178935.0,975786.9,1173251.07,1034621.5,White Marubozu,Bullish Harami,None,-0.1872,0.0625,-0.0116,195427.0,16999.0,1009919.0,1092051.0,1841720.0,0.0,0.0,-119.0,0.0,22.88,0.0,2020-09-16
234,10,6.2,0.36,0.0616,5.85,5.85,6.39,5.84,217800.0,1372368.0,-2968.0,13.92,4.2,5.68,5.15,6.3,6.72,6.16,6.44,6.28,7.59,6.12,6.33,6.56,6.71,DOWNTREND,DOWNTREND,SIDEWAYS,50.339,-0.1734,0.0452,NEUTRAL,-1.0070000000000001,38.3838,-33.3333,40240.0,74726.67,84365.0,244680.4,461926.13,531489.95,None,None,None,-0.153,-0.0476,0.0491,567.0,66426.0,85332.0,104461.0,831801.0,0.0,0.0,-77.5,0.0,23.85,0.0,2020-07-30
235,10,11.5,-0.5,-0.0417,12.24,10.6,12.24,12.0,843400.0,9612564.0,681000.0,12.6,4.2,11.05,7.0,12.45,13.53,10.12,7.86,6.85,6.58,10.31,8.58,7.58,7.08,UPTREND,UPTREND,UPTREND,65.7216,1.2214,0.0633,HIGH,60.54600000000001,83.3547,-30.136999999999997,615550.0,657980.0,886030.0,7089245.8,7050678.93,8472224.05,None,None,None,0.5710000000000001,0.4198,-0.065,-1267928.0,2025024.0,2418000.0,2351593.0,4751633.0,0.0,0.0,-383.33,0.0,46.0,0.0,2020-12-22
236,10,9.58,-0.32,-0.0323,10.18,9.57,10.18,9.9,658000.0,6454408.0,-30250.0,13.92,2.96,9.18,6.44,10.11,13.53,8.08,9.45,9.19,6.7,8.75,8.93,8.55,7.31,UPTREND,DOWNTREND,SIDEWAYS,56.9701,-0.1647,0.0839,HIGH,105.7968,79.1465,-23.1884,1136050.0,839366.67,726595.0,10674234.2,7680164.07,6477864.2,Black Long Day,None,None,0.3087,0.3087,0.0084,144288.0,-425917.0,-2144000.0,-2146901.0,1077492.0,-0.1,0.6296,-95.8,0.0,34.21,0.0,2020-01-10
237,10,6.75,-0.43,-0.0599,7.22,6.7,7.22,7.18,240700.0,1656293.0,-673.0,13.92,3.1,6.47,5.0,7.26,7.98,5.83,6.18,7.23,7.76,6.18,6.37,6.94,6.93,UPTREND,DOWNTREND,DOWNTREND,59.979,0.0515,0.0741,HIGH,110.7031,89.8108,-23.5808,310980.0,242640.0,206320.0,2024926.1,1534023.8,1277709.1,Black Long Day,None,None,-0.0779,0.3235,0.0547,-10072.0,-12780.0,-682767.0,-2377196.0,532363.0,0.0,0.0,-67.5,0.0,24.11,0.0,2020-04-24
238,10,7.77,0.17,0.0224,7.8,7.6,8.05,7.6,198600.0,1554312.0,-75542.0,13.92,2.96,7.5,6.62,8.12,10.11,8.39,8.41,9.26,7.12,8.15,8.52,8.43,7.44,DOWNTREND,SIDEWAYS,DOWNTREND,42.8518,-0.1776,0.0732,HIGH,-74.5956,21.5173,-76.12899999999999,241200.0,365193.33,609050.0,1901431.4,2954165.93,5399476.8,None,None,None,0.0615,-0.0177,-0.0177,-214294.0,842016.0,531583.0,-2788375.0,2196781.0,0.0,0.0,-77.7,0.0,27.75,0.0,2020-02-05
239,10,5.84,0.09,0.0157,5.7,5.64,5.84,5.75,16700.0,95168.0,0.0,13.92,4.2,5.68,5.1,6.1,6.72,6.21,6.47,6.29,7.61,6.14,6.35,6.58,6.72,DOWNTREND,DOWNTREND,SIDEWAYS,36.7076,-0.1682,0.0474,NEUTRAL,-100.0958,22.1917,-75.7576,33130.0,68573.33,82315.0,197015.2,424917.87,520663.8,White Long Day,None,None,-0.2022,-0.1029,-0.0118,4711.0,74004.0,88300.0,108119.0,834769.0,0.0,0.0,-73.0,0.0,22.46,0.0,2020-07-28
240,10,9.8,0.5,0.0538,9.2,9.05,9.98,9.3,993200.0,9553122.0,-89853.0,13.92,2.96,7.31,6.44,10.21,11.4,7.83,9.5,9.08,6.6,8.43,8.83,8.48,7.24,UPTREND,DOWNTREND,UPTREND,60.0517,-0.451,0.0833,HIGH,150.43200000000002,75.6844,-17.8744,827890.0,684366.67,633085.0,7407572.0,5871534.47,5384697.0,None,Bullish Engulfing,None,0.3388,0.3388,0.0316,-699923.0,13727.0,-3717494.0,-4002087.0,896694.0,-0.1,0.6296,-98.0,0.0,35.0,0.0,2020-01-07
